20220313,"2022-03-13",2022,3,"Mar",13,"Sun",0,10,true,false,false
20220314,"2022-03-14",2022,3,"Mar",14,"Mon",1,11,false,true,false
20220315,"2022-03-15",2022,3,"Mar",15,"Tue",2,11,true,false,false
20220316,"2022-03-16",2022,3,"Mar",16,"Wed",3,11,true,false,false
20220317,"2022-03-17",2022,3,"Mar",17,"Thu",4,11,true,false,false
20220318,"2022-03-18",2022,3,"Mar",18,"Fri",5,11,true,false,false
20220319,"2022-03-19",2022,3,"Mar",19,"Sat",6,11,true,false,false
20220320,"2022-03-20",2022,3,"Mar",20,"Sun",0,11,true,false,false
20220321,"2022-03-21",2022,3,"Mar",21,"Mon",1,12,false,true,false
20220322,"2022-03-22",2022,3,"Mar",22,"Tue",2,12,true,false,false
20220323,"2022-03-23",2022,3,"Mar",23,"Wed",3,12,true,false,false
20220324,"2022-03-24",2022,3,"Mar",24,"Thu",4,12,true,false,false
20220325,"2022-03-25",2022,3,"Mar",25,"Fri",5,12,true,false,false
20220326,"2022-03-26",2022,3,"Mar",26,"Sat",6,12,true,false,false
20220327,"2022-03-27",2022,3,"Mar",27,"Sun",0,12,true,false,false
20220328,"2022-03-28",2022,3,"Mar",28,"Mon",1,13,false,true,false
20220329,"2022-03-29",2022,3,"Mar",29,"Tue",2,13,true,false,false
20220330,"2022-03-30",2022,3,"Mar",30,"Wed",3,13,true,false,false
20220331,"2022-03-31",2022,3,"Mar",31,"Thu",4,13,true,false,false
20220401,"2022-04-01",2022,4,"Apr",1,"Fri",5,13,true,false,false
20220402,"2022-04-02",2022,4,"Apr",2,"Sat",6,13,true,false,false
20220403,"2022-04-03",2022,4,"Apr",3,"Sun",0,13,true,false,false
20220404,"2022-04-04",2022,4,"Apr",4,"Mon",1,14,false,true,false
20220405,"2022-04-05",2022,4,"Apr",5,"Tue",2,14,true,false,false
20220406,"2022-04-06",2022,4,"Apr",6,"Wed",3,14,true,false,false
20220407,"2022-04-07",2022,4,"Apr",7,"Thu",4,14,true,false,false
20220408,"2022-04-08",2022,4,"Apr",8,"Fri",5,14,true,false,false
20220409,"2022-04-09",2022,4,"Apr",9,"Sat",6,14,true,false,false
20220410,"2022-04-10",2022,4,"Apr",10,"Sun",0,14,true,false,false
20220411,"2022-04-11",2022,4,"Apr",11,"Mon",1,15,false,true,false
20220412,"2022-04-12",2022,4,"Apr",12,"Tue",2,15,true,false,false
20220413,"2022-04-13",2022,4,"Apr",13,"Wed",3,15,true,false,false
20220414,"2022-04-14",2022,4,"Apr",14,"Thu",4,15,true,false,false
20220415,"2022-04-15",2022,4,"Apr",15,"Fri",5,15,true,false,false
20220416,"2022-04-16",2022,4,"Apr",16,"Sat",6,15,true,false,false
20220417,"2022-04-17",2022,4,"Apr",17,"Sun",0,15,true,false,false
20220418,"2022-04-18",2022,4,"Apr",18,"Mon",1,16,false,true,false
20220419,"2022-04-19",2022,4,"Apr",19,"Tue",2,16,true,false,false
20220420,"2022-04-20",2022,4,"Apr",20,"Wed",3,16,true,false,false
20220421,"2022-04-21",2022,4,"Apr",21,"Thu",4,16,true,false,false
20220422,"2022-04-22",2022,4,"Apr",22,"Fri",5,16,true,false,false
